
26.0 availRes: Resources: [2240.0 22.0 9970.0 ] : Q size 320, 2 take 0 milliseconds
27.0 availRes: Resources: [2240.0 17.0 9910.0 ] : Q size 320, 2 take 0 milliseconds
27.0 availRes: Resources: [2240.0 17.0 9910.0 ] : Q size 320, 2 take 1 milliseconds
27.0 availRes: Resources: [2240.0 17.0 9910.0 ] : Q size 320, 2 take 0 milliseconds
27.0 availRes: Resources: [2240.0 17.0 9910.0 ] : Q size 480, 3 take 0 milliseconds
27.0 availRes: Resources: [2240.0 17.0 9910.0 ] : Q size 480, 3 take 0 milliseconds
28.0 availRes: Resources: [2304.0 21.0 9990.0 ] : Q size 320, 2 take 0 milliseconds
28.0 availRes: Resources: [2304.0 21.0 9990.0 ] : Q size 320, 2 take 1 milliseconds
28.0 availRes: Resources: [2304.0 21.0 9990.0 ] : Q size 320, 2 take 0 milliseconds
28.0 availRes: Resources: [2304.0 21.0 9990.0 ] : Q size 480, 3 take 1 milliseconds
28.0 availRes: Resources: [2304.0 21.0 9990.0 ] : Q size 480, 3 take 1 milliseconds
29.0 availRes: Resources: [2368.0 21.0 10022.0 ] : Q size 320, 2 take 1 milliseconds
29.0 availRes: Resources: [2368.0 21.0 10022.0 ] : Q size 320, 2 take 0 milliseconds
29.0 availRes: Resources: [2368.0 21.0 10022.0 ] : Q size 320, 2 take 0 milliseconds
29.0 availRes: Resources: [2368.0 21.0 10022.0 ] : Q size 480, 3 take 1 milliseconds
29.0 availRes: Resources: [2368.0 21.0 10022.0 ] : Q size 480, 3 take 1 milliseconds
30.0 availRes: Resources: [2336.0 20.0 9984.0 ] : Q size 320, 2 take 1 milliseconds
30.0 availRes: Resources: [2336.0 20.0 9984.0 ] : Q size 320, 2 take 0 milliseconds
30.0 availRes: Resources: [2336.0 20.0 9984.0 ] : Q size 320, 2 take 1 milliseconds
30.0 availRes: Resources: [2336.0 20.0 9984.0 ] : Q size 480, 3 take 1 milliseconds
30.0 availRes: Resources: [2336.0 20.0 9984.0 ] : Q size 480, 3 take 1 milliseconds
31.0 availRes: Resources: [2304.0 24.0 10006.0 ] : Q size 320, 2 take 1 milliseconds
31.0 availRes: Resources: [2304.0 23.0 10004.0 ] : Q size 160, 1 take 0 milliseconds
31.0 availRes: Resources: [2304.0 23.0 10004.0 ] : Q size 160, 1 take 0 milliseconds
31.0 availRes: Resources: [2304.0 23.0 10004.0 ] : Q size 320, 2 take 1 milliseconds
31.0 availRes: Resources: [2304.0 23.0 10004.0 ] : Q size 480, 3 take 1 milliseconds
31.0 availRes: Resources: [2304.0 23.0 10004.0 ] : Q size 480, 3 take 1 milliseconds
32.0 availRes: Resources: [2400.0 22.0 10030.0 ] : Q size 160, 1 take 0 milliseconds
32.0 availRes: Resources: [2400.0 22.0 10030.0 ] : Q size 160, 1 take 0 milliseconds
32.0 availRes: Resources: [2400.0 22.0 10030.0 ] : Q size 320, 2 take 1 milliseconds
32.0 availRes: Resources: [2400.0 22.0 10030.0 ] : Q size 480, 3 take 1 milliseconds
32.0 availRes: Resources: [2400.0 22.0 10030.0 ] : Q size 480, 3 take 1 milliseconds
33.0 availRes: Resources: [2048.0 10.0 9700.0 ] : Q size 160, 1 take 0 milliseconds
33.0 availRes: Resources: [2048.0 10.0 9700.0 ] : Q size 320, 2 take 0 milliseconds
33.0 availRes: Resources: [2048.0 10.0 9700.0 ] : Q size 480, 3 take 1 milliseconds
33.0 availRes: Resources: [2048.0 10.0 9700.0 ] : Q size 960, 6 take 4 milliseconds
33.0 availRes: Resources: [2048.0 10.0 9700.0 ] : Q size 1120, 7 take 5 milliseconds
34.0 availRes: Resources: [1696.0 25.0 9694.0 ] : Q size 160, 1 take 0 milliseconds
34.0 availRes: Resources: [1696.0 25.0 9694.0 ] : Q size 320, 2 take 1 milliseconds
34.0 availRes: Resources: [1696.0 25.0 9694.0 ] : Q size 640, 4 take 1 milliseconds
34.0 availRes: Resources: [1696.0 24.0 9692.0 ] : Q size 480, 3 take 1 milliseconds
34.0 availRes: Resources: [1696.0 23.0 9690.0 ] : Q size 320, 2 take 0 milliseconds
34.0 availRes: Resources: [1696.0 23.0 9690.0 ] : Q size 960, 6 take 4 milliseconds
34.0 availRes: Resources: [1696.0 22.0 9688.0 ] : Q size 960, 6 take 4 milliseconds
34.0 availRes: Resources: [1696.0 21.0 9686.0 ] : Q size 800, 5 take 2 milliseconds
34.0 availRes: Resources: [1696.0 20.0 9684.0 ] : Q size 640, 4 take 1 milliseconds
34.0 availRes: Resources: [1696.0 20.0 9684.0 ] : Q size 640, 4 take 2 milliseconds
35.0 availRes: Resources: [1760.0 10.0 9586.0 ] : Q size 160, 1 take 0 milliseconds
35.0 availRes: Resources: [1760.0 10.0 9586.0 ] : Q size 160, 1 take 1 milliseconds
35.0 availRes: Resources: [1760.0 10.0 9586.0 ] : Q size 320, 2 take 0 milliseconds
35.0 availRes: Resources: [1760.0 10.0 9586.0 ] : Q size 640, 4 take 2 milliseconds
35.0 availRes: Resources: [1760.0 10.0 9586.0 ] : Q size 640, 4 take 2 milliseconds
36.0 availRes: Resources: [1920.0 13.0 9692.0 ] : Q size 160, 1 take 0 milliseconds
36.0 availRes: Resources: [1920.0 13.0 9692.0 ] : Q size 160, 1 take 0 milliseconds
36.0 availRes: Resources: [1920.0 13.0 9692.0 ] : Q size 320, 2 take 1 milliseconds
36.0 availRes: Resources: [1920.0 13.0 9692.0 ] : Q size 640, 4 take 2 milliseconds
36.0 availRes: Resources: [1920.0 13.0 9692.0 ] : Q size 640, 4 take 1 milliseconds
37.0 availRes: Resources: [1920.0 20.0 9776.0 ] : Q size 160, 1 take 0 milliseconds
37.0 availRes: Resources: [1920.0 20.0 9776.0 ] : Q size 160, 1 take 0 milliseconds
37.0 availRes: Resources: [1920.0 20.0 9776.0 ] : Q size 320, 2 take 0 milliseconds
37.0 availRes: Resources: [1920.0 20.0 9776.0 ] : Q size 640, 4 take 1 milliseconds
37.0 availRes: Resources: [1920.0 20.0 9776.0 ] : Q size 640, 4 take 2 milliseconds
38.0 availRes: Resources: [2016.0 20.0 9814.0 ] : Q size 160, 1 take 0 milliseconds
38.0 availRes: Resources: [2016.0 20.0 9814.0 ] : Q size 160, 1 take 1 milliseconds
38.0 availRes: Resources: [2016.0 20.0 9814.0 ] : Q size 320, 2 take 0 milliseconds
38.0 availRes: Resources: [2016.0 20.0 9814.0 ] : Q size 640, 4 take 2 milliseconds
38.0 availRes: Resources: [2016.0 20.0 9814.0 ] : Q size 640, 4 take 1 milliseconds
39.0 availRes: Resources: [2144.0 23.0 9904.0 ] : Q size 160, 1 take 0 milliseconds
39.0 availRes: Resources: [2144.0 23.0 9904.0 ] : Q size 160, 1 take 0 milliseconds
39.0 availRes: Resources: [2144.0 23.0 9904.0 ] : Q size 320, 2 take 1 milliseconds
39.0 availRes: Resources: [2144.0 23.0 9904.0 ] : Q size 640, 4 take 1 milliseconds
39.0 availRes: Resources: [2144.0 23.0 9904.0 ] : Q size 640, 4 take 2 milliseconds
40.0 availRes: Resources: [2336.0 24.0 10002.0 ] : Q size 160, 1 take 0 milliseconds
40.0 availRes: Resources: [2336.0 24.0 10002.0 ] : Q size 160, 1 take 0 milliseconds
40.0 availRes: Resources: [2336.0 24.0 10002.0 ] : Q size 320, 2 take 0 milliseconds
40.0 availRes: Resources: [2336.0 24.0 10002.0 ] : Q size 640, 4 take 2 milliseconds
40.0 availRes: Resources: [2336.0 24.0 10002.0 ] : Q size 640, 4 take 2 milliseconds
41.0 availRes: Resources: [2304.0 26.0 9990.0 ] : Q size 160, 1 take 0 milliseconds
41.0 availRes: Resources: [2304.0 26.0 9990.0 ] : Q size 160, 1 take 0 milliseconds
41.0 availRes: Resources: [2304.0 26.0 9990.0 ] : Q size 320, 2 take 1 milliseconds
41.0 availRes: Resources: [2304.0 26.0 9990.0 ] : Q size 640, 4 take 1 milliseconds
41.0 availRes: Resources: [2304.0 26.0 9990.0 ] : Q size 640, 4 take 2 milliseconds
42.0 availRes: Resources: [2304.0 26.0 9960.0 ] : Q size 160, 1 take 0 milliseconds
42.0 availRes: Resources: [2304.0 26.0 9960.0 ] : Q size 640, 4 take 2 milliseconds
42.0 availRes: Resources: [2304.0 26.0 9960.0 ] : Q size 1280, 8 take 9 milliseconds
42.0 availRes: Resources: [2304.0 25.0 9958.0 ] : Q size 1120, 7 take 5 milliseconds
42.0 availRes: Resources: [2304.0 25.0 9958.0 ] : Q size 2560, 16 take 35 milliseconds
42.0 availRes: Resources: [2304.0 24.0 9956.0 ] : Q size 2400, 15 take 30 milliseconds
42.0 availRes: Resources: [2304.0 23.0 9954.0 ] : Q size 2080, 13 take 23 milliseconds
42.0 availRes: Resources: [2304.0 22.0 9952.0 ] : Q size 1920, 12 take 19 milliseconds
42.0 availRes: Resources: [2304.0 21.0 9950.0 ] : Q size 1760, 11 take 15 milliseconds
42.0 availRes: Resources: [2304.0 20.0 9948.0 ] : Q size 1600, 10 take 13 milliseconds
42.0 availRes: Resources: [2304.0 19.0 9946.0 ] : Q size 1440, 9 take 11 milliseconds
42.0 availRes: Resources: [2304.0 19.0 9946.0 ] : Q size 2080, 13 take 23 milliseconds
42.0 availRes: Resources: [2304.0 18.0 9944.0 ] : Q size 1920, 12 take 19 milliseconds
43.0 availRes: Resources: [2208.0 21.0 9922.0 ] : Q size 320, 2 take 0 milliseconds
43.0 availRes: Resources: [2208.0 21.0 9922.0 ] : Q size 480, 3 take 1 milliseconds
43.0 availRes: Resources: [2208.0 21.0 9922.0 ] : Q size 960, 6 take 3 milliseconds
43.0 availRes: Resources: [2208.0 20.0 9920.0 ] : Q size 800, 5 take 3 milliseconds
43.0 availRes: Resources: [2208.0 20.0 9920.0 ] : Q size 1600, 10 take 13 milliseconds
43.0 availRes: Resources: [2208.0 19.0 9918.0 ] : Q size 1760, 11 take 16 milliseconds
43.0 availRes: Resources: [2208.0 18.0 9916.0 ] : Q size 1600, 10 take 13 milliseconds
43.0 availRes: Resources: [2208.0 18.0 9916.0 ] : Q size 1600, 10 take 14 milliseconds
44.0 availRes: Resources: [2176.0 17.0 9878.0 ] : Q size 160, 1 take 0 milliseconds
44.0 availRes: Resources: [2176.0 17.0 9878.0 ] : Q size 480, 3 take 0 milliseconds
44.0 availRes: Resources: [2176.0 17.0 9878.0 ] : Q size 960, 6 take 26 milliseconds
44.0 availRes: Resources: [2176.0 17.0 9878.0 ] : Q size 1760, 11 take 25 milliseconds
44.0 availRes: Resources: [2176.0 17.0 9878.0 ] : Q size 1920, 12 take 27 milliseconds
45.0 availRes: Resources: [2176.0 20.0 9904.0 ] : Q size 160, 1 take 0 milliseconds
45.0 availRes: Resources: [2176.0 20.0 9904.0 ] : Q size 480, 3 take 2 milliseconds
45.0 availRes: Resources: [2176.0 20.0 9904.0 ] : Q size 960, 6 take 5 milliseconds
45.0 availRes: Resources: [2176.0 20.0 9904.0 ] : Q size 1920, 12 take 25 milliseconds
45.0 availRes: Resources: [2176.0 19.0 9902.0 ] : Q size 1760, 11 take 25 milliseconds
45.0 availRes: Resources: [2176.0 18.0 9900.0 ] : Q size 1600, 10 take 19 milliseconds
