JobId, startTime, endTime, duration, queueName, startRunning, runningTime, isCPU
137,281.0,391.0,110.0,queue7,368.0,23.0,false
127,258.0,393.0,135.0,queue7,361.0,32.0,false
163,340.0,394.0,54.0,queue3,340.0,54.0,false
117,239.0,398.0,159.0,queue7,355.0,43.0,false
152,320.0,412.0,92.0,queue2,372.0,40.0,false
153,320.0,420.0,100.0,queue3,324.0,96.0,false
155,328.0,423.0,95.0,queue5,343.0,80.0,false
170,393.0,425.0,32.0,queue0,393.0,32.0,false
157,329.0,439.0,110.0,queue7,387.0,52.0,false
177,425.0,442.0,17.0,queue7,425.0,17.0,false
176,425.0,442.0,17.0,queue6,425.0,17.0,false
175,424.0,445.0,21.0,queue5,424.0,21.0,false
172,409.0,447.0,38.0,queue2,409.0,38.0,false
174,424.0,448.0,24.0,queue4,424.0,24.0,false
179,426.0,455.0,29.0,queue9,448.0,7.0,false
162,340.0,456.0,116.0,queue2,382.0,74.0,false
169,375.0,456.0,81.0,queue9,378.0,78.0,false
166,369.0,458.0,89.0,queue6,371.0,87.0,false
178,426.0,458.0,32.0,queue8,426.0,32.0,false
186,437.0,458.0,21.0,queue6,442.0,16.0,false
181,426.0,460.0,34.0,queue1,426.0,34.0,false
190,446.0,466.0,20.0,queue0,447.0,19.0,false
188,437.0,471.0,34.0,queue8,458.0,13.0,false
37,0.0,472.0,472.0,queue7,74.0,398.0,false
189,437.0,472.0,35.0,queue9,455.0,17.0,false
196,459.0,473.0,14.0,queue6,460.0,13.0,false
194,456.0,477.0,21.0,queue4,456.0,21.0,false
173,423.0,482.0,59.0,queue3,423.0,59.0,false
206,464.0,493.0,29.0,queue6,471.0,22.0,false
165,351.0,495.0,144.0,queue5,351.0,144.0,false
180,426.0,496.0,70.0,queue0,426.0,70.0,false
167,374.0,509.0,135.0,queue7,388.0,121.0,false
184,430.0,514.0,84.0,queue4,442.0,72.0,false
171,397.0,515.0,118.0,queue1,397.0,118.0,false
204,462.0,515.0,53.0,queue4,477.0,38.0,false
200,461.0,519.0,58.0,queue0,466.0,53.0,false
142,292.0,520.0,228.0,queue2,365.0,155.0,false
191,454.0,520.0,66.0,queue1,458.0,62.0,false
185,437.0,526.0,89.0,queue5,445.0,81.0,false
199,461.0,526.0,65.0,queue9,472.0,54.0,false
210,475.0,529.0,54.0,queue0,496.0,33.0,false
195,458.0,541.0,83.0,queue5,495.0,46.0,false
147,312.0,545.0,233.0,queue7,378.0,167.0,false
211,476.0,546.0,70.0,queue1,520.0,26.0,false
205,463.0,548.0,85.0,queue5,526.0,22.0,false
224,501.0,549.0,48.0,queue4,515.0,34.0,false
193,456.0,556.0,100.0,queue3,482.0,74.0,false
201,462.0,557.0,95.0,queue1,515.0,42.0,false
187,437.0,565.0,128.0,queue7,520.0,45.0,false
182,430.0,568.0,138.0,queue2,456.0,112.0,false
215,486.0,571.0,85.0,queue5,541.0,30.0,false
230,504.0,574.0,70.0,queue0,529.0,45.0,false
220,497.0,577.0,80.0,queue0,519.0,58.0,false
192,454.0,578.0,124.0,queue2,458.0,120.0,false
148,312.0,590.0,278.0,queue8,316.0,274.0,false
219,491.0,597.0,106.0,queue9,526.0,71.0,false
235,510.0,597.0,87.0,queue5,571.0,26.0,false
203,462.0,601.0,139.0,queue3,556.0,45.0,false
214,486.0,603.0,117.0,queue4,514.0,89.0,false
207,465.0,606.0,141.0,queue7,565.0,41.0,false
240,513.0,607.0,94.0,queue0,574.0,33.0,false
202,462.0,614.0,152.0,queue2,568.0,46.0,false
